原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
YSH-0345SD,0,35811,0,0,998.0,1901.0
YSH-0489S,0,36109,0,1901.0,830.0,536.0
YSH-0565SD,0,36264,998.0,0,218.0,797.0
YSH-0422S,0,35970,998.0,797.0,218.0,736.0
YSH-0398SD,0,35921,998.0,1533.0,218.0,736.0
YSH-0428SD,1,35981,0,0,981.0,1863.0
YSH-0548SD,1,36229,0,1863.0,734.0,577.0
YSH-0350S,1,35823,981.0,0,238.0,829.0
YSH-0282SD,1,35684,981.0,829.0,238.0,831.0
YSH-0558S,1,36250,981.0,1660.0,198.0,438.0
YSH-0445SD,1,36017,981.0,2098.0,198.0,288.0
YSH-0581SD,2,36296,0,0,978.0,1931.0
YSH-0523S,2,36179,0,1931.0,871.0,504.5
YSH-0544SD,2,36220,978.0,0,235.0,860.0
YSH-0374S,2,35872,978.0,860.0,235.0,860.0
YSH-0320S,2,35762,978.0,1720.0,215.0,710.5
YSH-0556SD,3,36245,0,0,951.0,1951.0
YSH-0433S,3,35993,0,1951.0,759.0,489.0
YSH-0525SD,3,36182,951.0,0,268.0,868.0
YSH-0406S,3,35938,951.0,868.0,264.0,489.0
YSH-0585SD,3,36304,951.0,1357.0,257.0,804.0
YSH-0475SD,4,36079,0,0,951.0,1951.0
YSH-0386S,4,35897,0,1951.0,570.0,488.0
YSH-0273S,4,35667,951.0,0,257.0,822.0
YSH-0248SD,4,35616,951.0,822.0,257.0,822.0
YSH-0533S,4,36199,951.0,1644.0,253.0,462.0
YSH-0221SD,5,35560,0,0,881.0,1441.5
YSH-0397S,5,35920,0,1441.5,880.0,962.0
YSH-0334S,5,35790,881.0,0,338.0,1258.0
YSH-0564SD,5,36261,881.0,1258.0,331.0,628.0
YSH-0498S,5,36127,881.0,1886.0,330.5,361.0
YSH-0586S,5,36307,881.0,2247.0,298.0,168.0
YSH-0392S,6,35909,0,0,880.0,970.0
YSH-0426S,6,35978,0,970.0,868.0,973.0
YSH-0253SD,6,35626,0,1943.0,811.0,489.5
YSH-0555SD,6,36243,880.0,0,329.0,1662.0
YSH-0446SD,6,36019,880.0,1662.0,329.0,741.0
YSH-0491SD,7,36112,0,0,858.0,1007.0
YSH-0575SD,7,36284,0,1007.0,811.0,881.0
YSH-0338S,7,35798,0,1888.0,794.3,536.0
YSH-0533SD,7,36198,858.0,0,361.0,562.0
YSH-0502SD,7,36135,858.0,562.0,361.0,858.0
YSH-0434SD,7,35994,858.0,1420.0,361.0,737.0
YSH-0309SD,7,35739,858.0,2157.0,306.0,277.5
YSH-0351S,8,35825,0,0,846.0,1911.0
YSH-0568SD,8,36270,0,1911.0,835.0,525.0
YSH-0370SD,8,35862,846.0,0,363.0,548.0
YSH-0283S,8,35687,846.0,548.0,362.0,1576.0
YSH-0452SD,8,36031,846.0,2124.0,331.0,306.5
YSH-0433SD,9,35992,0,0,842.0,1703.0
YSH-0556S,9,36246,0,1703.0,811.0,699.0
YSH-0292S,9,35706,842.0,0,378.0,1160.0
YSH-0412SD,9,35949,842.0,1160.0,377.0,1120.0
YSH-0553S,9,36240,842.0,2280.0,338.0,158.0
YSH-0538S,10,36209,0,0,832.0,1961.0
YSH-0526S,10,36185,0,1961.0,559.0,464.5
YSH-0404SD,10,35933,832.0,0,387.0,2371.5
YSH-0450SD,11,36027,0,0,821.0,2285.0
YSH-0239SD,11,35597,0,2285.0,750.0,148.0
YSH-0378S,11,35880,821.0,0,398.0,1998.0
YSH-0538SD,11,36208,821.0,1998.0,388.0,427.0
YSH-0432SD,12,35989,0,0,821.0,2285.0
YSH-0462S,12,36052,0,2285.0,803.0,132.5
YSH-0411SD,12,35947,821.0,0,396.0,536.0
YSH-0356SD,12,35834,821.0,536.0,395.0,695.5
YSH-0293S,12,35708,821.0,1231.5,395.0,695.5
YSH-0498SD,12,36126,821.0,1927.0,394.0,502.0
YSH-0392SD,13,35908,0,0,804.0,830.0
YSH-0573SD,13,36280,0,830.0,798.0,871.0
YSH-0308S,13,35738,0,1701.0,785.0,678.0
YSH-0559S,13,36252,0,2379.0,777.0,58.0
YSH-0415S,13,35956,804.0,0,415.0,504.5
YSH-0409SD,13,35943,804.0,504.5,415.0,504.5
YSH-0275SD,13,35670,804.0,1009.0,413.0,604.0
YSH-0526SD,13,36184,804.0,1613.0,411.0,439.0
YSH-0536S,13,36205,804.0,2052.0,398.0,388.0
YSH-0540SD,14,36212,0,0,794.0,1961.0
YSH-0288S,14,35697,0,1961.0,704.0,476.0
YSH-0272SD,14,35664,794.0,0,425.0,1392.0
YSH-0365S,14,35853,794.0,1392.0,422.0,950.0
YSH-0377SD,14,35877,794.0,2342.0,413.0,58.0
YSH-0429SD,15,35983,0,0,760.0,1498.0
YSH-0507SD,15,36145,0,1498.0,752.0,907.0
YSH-0577S,15,36289,760.0,0,459.0,559.0
YSH-0530SD,15,36192,760.0,559.0,457.0,1632.0
YSH-0263S,15,35647,760.0,2191.0,443.0,205.0
YSH-0318S,15,35758,760.0,2396.0,435.0,38.0
YSH-0390SD,16,35904,0,0,750.0,2021.0
YSH-0459S,16,36046,0,2021.0,504.5,415.0
YSH-0584S,16,36303,750.0,0,466.0,2261.0
YSH-0219SD,16,35556,750.0,2261.0,414.0,178.0
YSH-0501S,17,36134,0,0,741.0,2021.0
YSH-0528SD,17,36188,0,2021.0,549.0,417.5
YSH-0277S,17,35675,741.0,0,477.0,1900.0
YSH-0315SD,17,35751,741.0,1900.0,472.5,486.5
YSH-0346S,17,35814,741.0,2386.5,461.5,52.5
YSH-0251S,18,35623,0,0,741.0,2021.0
YSH-0473SD,18,36075,0,2021.0,488.0,415.5
YSH-0391S,18,35907,741.0,0,476.5,2304.0
YSH-0363SD,18,35848,741.0,2304.0,445.0,132.5
YSH-0582SD,19,36298,0,0,734.0,1547.0
YSH-0550SD,19,36233,0,1547.0,718.0,890.0
YSH-0344SD,19,35809,734.0,0,483.5,678.0
YSH-0546S,19,36225,734.0,678.0,483.0,578.0
YSH-0566SD,19,36266,734.0,1256.0,481.0,480.0
YSH-0311S,19,35744,734.0,1736.0,480.0,482.0
YSH-0535S,19,36203,734.0,2218.0,447.0,201.0
YSH-0480SD,20,36090,0,0,704.0,1738.5
YSH-0353SD,20,35828,0,1738.5,509.5,494.0
YSH-0503SD,20,36137,0,2232.5,447.0,201.0
YSH-0401SD,20,35927,704.0,0,512.0,991.0
YSH-0289SD,20,35698,704.0,991.0,509.5,947.0
YSH-0581S,20,36297,704.0,1938.0,498.5,494.0
YSH-0475S,21,36081,0,0,700.0,1978.0
YSH-0501SD,21,36133,0,1978.0,641.0,462.0
YSH-0423S,21,35972,700.0,0,520.0,858.0
YSH-0385SD,21,35894,700.0,858.0,518.0,876.0
YSH-0563SD,21,36259,700.0,1734.0,508.0,578.0
YSH-0481S,21,36093,700.0,2312.0,483.5,121.5
YSH-0260S,22,35641,0,0,699.0,811.0
YSH-0364S,22,35851,0,811.0,684.0,711.0
YSH-0448S,22,36024,0,1522.0,641.0,771.0
YSH-0233SD,22,35584,0,2293.0,488.0,118.0
YSH-0352S,22,35827,699.0,0,519.5,1721.5
YSH-0518S,22,36169,699.0,1721.5,512.0,609.0
YSH-0329SD,22,35779,699.0,2330.5,444.0,48.0
YSH-0499SD,23,36128,0,0,661.5,1023.0
YSH-0382S,23,35888,0,1023.0,658.0,715.0
YSH-0225SD,23,35568,0,1738.0,549.0,494.0
YSH-0502S,23,36136,0,2232.0,467.5,201.0
YSH-0343SD,23,35807,661.5,0,558.0,1981.0
YSH-0379SD,23,35881,661.5,1981.0,489.0,456.0
YSH-0459SD,24,36045,0,0,648.0,2383.0
YSH-0499S,24,36129,0,2383.0,647.0,38.0
YSH-0471SD,24,36071,648.0,0,572.0,1310.0
YSH-0542S,24,36217,648.0,1310.0,560.0,780.0
YSH-0478S,24,36087,648.0,2090.0,489.0,340.0
YSH-0327S,25,35776,0,0,648.0,2383.0
YSH-0335S,25,35792,0,2383.0,542.5,52.5
YSH-0435S,25,35997,648.0,0,570.0,2348.0
YSH-0496SD,25,36122,648.0,2348.0,542.0,78.0
YSH-0322S,26,35766,0,0,641.0,771.0
YSH-0237SD,26,35592,0,771.0,610.0,811.0
YSH-0218SD,26,35554,0,1582.0,579.0,821.0
YSH-0387S,26,35899,641.0,0,579.0,862.0
YSH-0219S,26,35557,641.0,862.0,579.0,972.0
YSH-0416S,26,35958,641.0,1834.0,560.0,548.0
YSH-0589SD,26,36313,641.0,2382.0,552.0,58.0
YSH-0522SD,27,36176,0,0,607.0,951.0
YSH-0315S,27,35752,0,951.0,607.0,951.0
YSH-0232SD,27,35582,0,1902.0,580.0,528.0
YSH-0414SD,27,35953,607.0,0,598.0,2298.0
YSH-0572SD,27,36278,607.0,2298.0,591.0,130.0
YSH-0391SD,28,35906,0,0,598.0,1168.0
YSH-0455S,28,36038,0,1168.0,579.0,858.0
YSH-0476S,28,36083,0,2026.0,548.0,414.0
YSH-0370S,28,35863,598.0,0,598.0,2398.0
YSH-0231SD,29,35580,0,0,598.0,2395.0
YSH-0222S,29,35563,598.0,0,598.0,1312.0
YSH-0424SD,29,35973,598.0,1312.0,580.0,780.0
YSH-0321SD,29,35763,598.0,2092.0,489.0,340.0
YSH-0295SD,30,35711,0,0,580.0,2353.0
YSH-0333S,30,35788,0,2353.0,567.0,38.0
YSH-0576SD,30,36286,580.0,0,578.0,1758.0
YSH-0330SD,30,35781,580.0,1758.0,560.0,667.0
YSH-0588SD,30,36310,1158.0,0,58.0,821.0
YSH-0578S,30,36291,1158.0,821.0,58.0,438.0
YSH-0576S,30,36287,1158.0,1259.0,58.0,832.0
YSH-0311SD,30,35743,1158.0,2091.0,58.0,312.0
YSH-0514SD,31,36160,0,0,578.0,1180.0
YSH-0560SD,31,36253,0,1180.0,577.0,821.0
YSH-0310S,31,35742,0,2001.0,577.0,426.0
YSH-0509S,31,36151,578.0,0,578.0,2358.0
YSH-0364SD,31,35850,578.0,2358.0,562.0,78.0
YSH-0564S,31,36262,1156.0,0,58.0,821.0
YSH-0559SD,31,36251,1156.0,821.0,58.0,830.0
YSH-0529S,31,36191,1156.0,1651.0,58.0,403.5
YSH-0491S,31,36113,1156.0,2054.5,58.0,311.0
YSH-0505S,32,36142,0,0,578.0,2098.0
YSH-0255SD,32,35630,0,2098.0,489.0,340.0
YSH-0431SD,32,35987,578.0,0,578.0,2393.0
YSH-0551S,32,36236,1156.0,0,58.0,821.0
YSH-0523SD,32,36178,1156.0,821.0,58.0,1382.0
YSH-0524S,33,36181,0,0,577.0,805.0
YSH-0512S,33,36157,0,805.0,577.0,811.0
YSH-0451S,33,36030,0,1616.0,577.0,811.0
YSH-0403SD,33,35931,577.0,0,577.0,811.0
YSH-0357S,33,35837,577.0,811.0,577.0,811.0
YSH-0244S,33,35609,577.0,1622.0,575.0,791.0
YSH-0544S,33,36221,1154.0,0,58.0,1718.0
YSH-0493S,33,36117,1154.0,1718.0,58.0,502.0
YSH-0296S,34,35714,0,0,577.0,821.0
YSH-0257S,34,35635,0,821.0,577.0,851.0
YSH-0575S,34,36285,0,1672.0,548.0,748.0
YSH-0466S,34,36061,577.0,0,576.0,1398.0
YSH-0487SD,34,36104,577.0,1398.0,575.0,894.0
YSH-0345S,34,35812,577.0,2292.0,488.0,118.0
YSH-0517S,34,36167,1153.0,0,58.0,811.0
YSH-0511S,34,36155,1153.0,811.0,58.0,925.0
YSH-0483S,34,36097,1153.0,1736.0,58.0,462.0
YSH-0369SD,35,35860,0,0,568.0,2098.0
YSH-0464SD,35,36055,0,2098.0,498.5,330.0
YSH-0407S,35,35940,568.0,0,560.0,2073.0
YSH-0360S,35,35843,568.0,2073.0,501.5,365.0
YSH-0285S,35,35691,1128.0,0,83.0,1072.0
YSH-0455SD,35,36037,1128.0,1072.0,81.0,478.0
YSH-0565S,35,36265,1128.0,1550.0,78.0,438.0
YSH-0492SD,35,36114,1128.0,1988.0,78.0,338.0
YSH-0388S,36,35901,0,0,560.0,875.0
YSH-0218S,36,35555,0,875.0,560.0,821.0
YSH-0417SD,36,35959,0,1696.0,560.0,502.0
YSH-0519SD,36,36170,0,2198.0,438.0,198.0
YSH-0290SD,36,35701,0,2396.0,435.0,38.0
YSH-0486SD,36,36102,560.0,0,559.0,873.0
YSH-0500SD,36,36130,560.0,873.0,558.0,820.0
YSH-0456S,36,36040,560.0,1693.0,540.0,498.5
YSH-0537S,36,36207,560.0,2191.5,488.0,238.0
YSH-0287S,36,35695,1119.0,0,98.1,560.0
YSH-0552S,36,36238,1119.0,560.0,83.0,858.0
YSH-0301SD,36,35723,1119.0,1418.0,78.0,338.0
YSH-0269SD,36,35658,1119.0,1756.0,78.0,338.0
YSH-0287SD,37,35694,0,0,558.0,810.0
YSH-0237S,37,35593,0,810.0,558.0,1488.0
YSH-0514S,37,36161,0,2298.0,498.0,118.0
YSH-0561S,37,36256,558.0,0,557.0,845.0
YSH-0454SD,37,36035,558.0,845.0,556.0,850.0
YSH-0483SD,37,36096,558.0,1695.0,528.0,733.0
YSH-0461S,37,36050,1115.0,0,68.0,1698.0
YSH-0485SD,37,36100,1115.0,1698.0,58.0,707.0
YSH-0495SD,38,36120,0,0,557.0,2236.0
YSH-0462SD,38,36051,0,2236.0,488.0,198.0
YSH-0390S,38,35905,557.0,0,556.0,882.0
YSH-0356S,38,35835,557.0,882.0,556.0,820.0
YSH-0304S,38,35730,557.0,1702.0,502.0,560.0
YSH-0438SD,38,36002,557.0,2262.0,488.0,158.0
YSH-0504S,38,36140,1113.0,0,58.0,972.0
YSH-0494SD,38,36118,1113.0,972.0,58.0,842.0
YSH-0449SD,38,36025,1113.0,1814.0,58.0,500.0
YSH-0297S,38,35716,1171.0,0,48.0,1163.0
YSH-0286S,38,35693,1171.0,1163.0,48.0,282.5
YSH-0266SD,38,35652,1171.0,1445.5,48.0,444.0
YSH-0299S,39,35720,0,0,556.0,894.0
YSH-0265SD,39,35650,0,894.0,556.0,872.0
YSH-0279SD,39,35678,0,1766.0,540.0,498.5
YSH-0437SD,39,36000,0,2264.5,488.0,158.0
YSH-0252SD,39,35624,556.0,0,556.0,872.0
YSH-0272S,39,35665,556.0,872.0,553.0,869.0
YSH-0412S,39,35950,556.0,1741.0,540.0,498.5
YSH-0527S,39,36187,556.0,2239.5,438.0,198.0
YSH-0482S,39,36095,1112.0,0,58.0,851.0
YSH-0472SD,39,36073,1112.0,851.0,58.0,811.0
YSH-0451SD,39,36029,1112.0,1662.0,58.0,722.0
YSH-0223S,39,35565,1170.0,0,48.0,1319.5
YSH-0220S,39,35559,1170.0,1319.5,48.0,766.0
YSH-0256SD,40,35632,0,0,550.0,2373.0
YSH-0512SD,40,36156,550.0,0,549.0,871.0
YSH-0461SD,40,36049,550.0,871.0,549.0,904.0
YSH-0551SD,40,36235,550.0,1775.0,540.0,568.0
YSH-0504SD,40,36139,1099.0,0,118.0,798.0
YSH-0430SD,40,35985,1099.0,798.0,118.0,498.0
YSH-0402S,40,35930,1099.0,1296.0,118.0,488.0
YSH-0352SD,40,35826,1099.0,1784.0,118.0,488.0
YSH-0337SD,41,35795,0,0,549.0,1028.5
YSH-0323S,41,35768,0,1028.5,549.0,1028.5
YSH-0406SD,41,35937,0,2057.0,538.0,379.0
YSH-0435SD,41,35996,549.0,0,548.0,978.0
YSH-0357SD,41,35836,549.0,978.0,548.0,858.0
YSH-0506SD,41,36143,549.0,1836.0,508.0,578.0
YSH-0358SD,41,35838,1097.0,0,111.5,523.5
YSH-0400SD,41,35925,1097.0,523.5,108.6,1901.0
YSH-0335SD,42,35791,0,0,548.0,1598.0
YSH-0496S,42,36123,0,1598.0,546.0,762.0
YSH-0262S,42,35645,0,2360.0,542.0,78.0
YSH-0294S,42,35710,548.0,0,548.0,858.0
YSH-0329S,42,35780,548.0,858.0,540.0,858.0
YSH-0355S,42,35833,548.0,1716.0,538.0,704.0
YSH-0470S,42,36070,1096.0,0,58.0,2398.0
YSH-0469SD,42,36066,1154.0,0,58.0,1772.0
YSH-0465S,42,36058,1154.0,1772.0,58.0,577.0
YSH-0328S,43,35778,0,0,540.0,1968.0
YSH-0530S,43,36193,0,1968.0,520.0,463.5
YSH-0490S,43,36111,540.0,0,539.0,1562.0
YSH-0331SD,43,35783,540.0,1562.0,539.0,815.0
YSH-0306S,43,35734,540.0,2377.0,484.0,48.0
YSH-0413S,43,35952,1079.0,0,131.5,1060.0
YSH-0543S,43,36219,1079.0,1060.0,130.0,526.5
YSH-0497S,43,36125,1079.0,1586.5,130.0,575.0
YSH-0489SD,44,36108,0,0,538.5,2231.0
YSH-0571S,44,36277,0,2231.0,488.0,198.0
YSH-0220SD,44,35558,538.5,0,538.0,1113.0
YSH-0230SD,44,35578,538.5,1113.0,537.0,811.0
YSH-0331S,44,35784,538.5,1924.0,535.0,504.5
YSH-0479S,44,36089,1076.5,0,130.0,927.0
YSH-0464S,44,36056,1076.5,927.0,128.0,924.0
YSH-0443S,44,36014,1076.5,1851.0,126.5,523.0
YSH-0579S,45,36293,0,0,530.0,1651.0
YSH-0431S,45,35988,0,1651.0,520.0,501.5
YSH-0250S,45,35621,0,2152.5,502.0,286.0
YSH-0386SD,45,35896,530.0,0,530.0,870.0
YSH-0246SD,45,35612,530.0,870.0,530.0,1027.5
YSH-0516S,45,36165,530.0,1897.5,511.0,498.0
YSH-0421SD,45,35967,1060.0,0,158.0,438.0
YSH-0418S,45,35962,1060.0,438.0,158.0,438.0
YSH-0415SD,45,35955,1060.0,876.0,158.0,338.0
YSH-0381S,45,35886,1060.0,1214.0,158.0,353.0
YSH-0376S,45,35876,1060.0,1567.0,158.0,438.0
YSH-0346SD,45,35813,1060.0,2005.0,158.0,288.0
YSH-0509SD,46,36150,0,0,528.0,2331.0
YSH-0338SD,46,35797,528.0,0,508.0,2393.0
YSH-0323SD,46,35767,1036.0,0,173.0,2178.0
YSH-0332SD,47,35785,0,0,502.0,2001.0
YSH-0554SD,47,36241,0,2001.0,464.5,439.0
YSH-0541S,47,36215,502.0,0,498.5,1955.0
YSH-0439SD,47,36004,502.0,1955.0,498.0,449.5
YSH-0363S,47,35849,1000.5,0,198.0,488.0
YSH-0324SD,47,35769,1000.5,488.0,194.0,442.0
YSH-0471S,47,36072,1000.5,930.0,193.0,534.0
YSH-0463S,47,36054,1000.5,1464.0,193.0,534.0
YSH-0270S,47,35661,1000.5,1998.0,187.5,416.0
YSH-0239S,48,35598,0,0,498.5,1955.0
YSH-0238S,48,35595,0,1955.0,495.0,468.0
YSH-0380SD,48,35883,498.5,0,498.0,1598.0
YSH-0372SD,48,35866,498.5,1598.0,498.0,580.0
YSH-0289S,48,35700,498.5,2178.0,482.5,241.0
YSH-0569S,48,36273,996.5,0,172.5,653.6
YSH-0467SD,48,36062,996.5,653.6,172.5,346.0
YSH-0427SD,48,35979,996.5,999.6,172.5,657.0
YSH-0401S,48,35928,996.5,1656.6,172.5,653.5
