批次序号,原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
4,NBSY-0215S,0,23275,0,0,648.0,1160.0
4,NBSY-0215S,0,22487,0,1160.0,551.5,771.0
4,NBSY-0215S,0,20306,0,1931.0,551.5,478.0
4,NBSY-0215S,0,20436,648.0,0,551.5,771.0
4,XXB-0218S,0,21986,648.0,771.0,395.0,565.0
4,XXB-0218S,0,21056,648.0,1336.0,395.0,565.0
4,NBSY-0215S,0,21574,648.0,1901.0,289.0,422.0
4,NBSY-0215S,0,23267,648.0,2323.0,288.0,78.0
4,XXB-0218S,1,19837,0,0,395.0,565.0
4,XXB-0218S,1,19395,0,565.0,395.0,565.0
4,XXB-0218S,1,21683,0,1130.0,368.0,1198.0
4,NBSY-0215S,1,21802,0,2328.0,288.0,78.0
4,XXB-0218S,1,23661,395.0,0,368.0,2098.0
4,NBSY-0215S,1,19116,395.0,2098.0,288.0,158.0
4,NBSY-0215S,1,18920,395.0,2256.0,288.0,158.0
4,NBSY-0218S,1,23783,763.0,0,348.5,630.0
4,NBSY-0218S,1,20071,763.0,630.0,348.5,630.0
4,NBSY-0218S,1,22263,763.0,1260.0,348.0,780.0
4,NBSY-0215S,1,20129,763.0,2040.0,288.0,158.0
4,NBSY-0215S,1,19775,763.0,2198.0,288.0,158.0
4,NBSY-0215S,1,23492,763.0,2356.0,288.0,78.0
4,NBSY-0215S,1,20961,1111.5,0,78.0,288.0
4,NBSY-0215S,1,19556,1111.5,288.0,78.0,288.0
4,NBSY-0215S,1,20391,1111.5,576.0,52.5,313.0
4,NBSY-0218S,2,22917,0,0,327.0,551.5
4,NBSY-0218S,2,22557,0,551.5,327.0,1160.0
4,NBSY-0218S,2,19603,0,1711.5,327.0,551.5
4,NBSY-0215S,2,20684,0,2263.0,288.0,158.0
4,NBSY-0218S,2,20457,327.0,0,327.0,2060.0
4,NBSY-0215S,2,21202,327.0,2060.0,314.0,289.0
4,NBSY-0215S,2,22574,327.0,2349.0,288.0,78.0
4,NBSY-0218S,2,22532,654.0,0,308.0,770.0
4,NBSY-0218S,2,20026,654.0,770.0,308.0,770.0
4,NBSY-0215S,2,22849,654.0,1540.0,289.0,422.0
4,NBSY-0215S,2,21803,654.0,1962.0,289.0,314.0
4,NBSY-0215S,2,21705,654.0,2276.0,288.0,158.0
4,NBSY-0215S,2,23363,962.0,0,132.5,421.0
4,NBSY-0215S,2,22334,962.0,421.0,132.5,421.0
4,NBSY-0215S,2,20025,962.0,842.0,132.5,421.0
4,NBSY-0218S,2,19736,962.0,1263.0,130.0,348.0
4,ZYF-0218S,2,22121,962.0,1611.0,125.5,395.0
4,ZYF-0218S,2,19270,962.0,2006.0,125.5,394.0
4,ZYF-0218S,2,19182,1094.5,0,125.5,394.0
4,NBSY-0218S,2,21104,1094.5,394.0,112.0,308.0
4,NBSY-0218S,2,19322,1094.5,702.0,112.0,308.0
4,NBSY-0215S,2,23384,1094.5,1010.0,112.0,1160.0
4,NBSY-0215S,3,20024,0,0,289.0,422.0
4,NBSY-0215S,3,19462,0,422.0,289.0,324.0
4,ZYF-0218S,3,21371,0,746.0,185.0,493.0
4,ZYF-0218S,3,20778,0,1239.0,185.0,493.0
4,ZYF-0218S,3,19271,0,1732.0,185.0,493.0
4,NBSY-0218S,3,22964,289.0,0,58.0,2060.0
4,NBSY-0215S,3,23638,289.0,2060.0,52.5,313.0
4,NBSY-0218S,3,20185,347.0,0,58.0,2060.0
4,NBSY-0215S,3,20539,347.0,2060.0,52.5,323.0
4,NBSY-0218S,0,23074,0,0,736.0,948.0
4,NBSY-0218SD,0,23938,0,948.0,735.0,702.0
4,NBSY-0218S,0,23973,0,1650.0,735.0,702.0
