P,item_order,item_material,item_id,max_length,min_length
1,order1,MNH-0218S,1858,808,38
1,order1,MNH-0218S,609,772,308
1,order1,MNH-0218S,4731,772,347
1,order1,MNH-0218S,4857,772,347
1,order1,MNH-0218S,1954,385,348
1,order1,MNH-0218S,2477,385,348
1,order1,PKQL-0418S,1368,399,340
1,order1,PKQL-0418S,3576,399,340
4,order10,QKQ-0218S,19355,357,175.5
4,order10,QKQ-0218S,19916,357,175.5
4,order10,QKQ-0218S,20730,357,175.5
4,order10,QKQ-0218S,23422,357,175.5
4,order10,QKQ-0218S,19425,622,357
4,order10,QKQ-0218S,20484,622,357
4,order10,QKQ-0218S,21836,622,357
4,order10,QKQ-0218S,21938,622,357
4,order10,QKQ-0218S,19273,899,357.5
4,order10,QKQ-0218S,23030,899,357.5
4,order10,XMJQ-0215S,18863,695,189
4,order10,XMJQ-0215S,20659,342,189
4,order10,XMJQ-0215S,22064,333,189
4,order10,XMJQ-0215S,19038,695,635.5
4,order10,XMJQ-0215S,23111,695,635.5
4,order10,XMJQ-0218S,21200,333,38
4,order10,XMJQ-0218S,21399,342,38
4,order10,XMJQ-0218S,22158,695,38
4,order10,XMJQ-0218S,22588,342,38
4,order10,XMJQ-0218S,23060,695,38
4,order10,XMJQ-0218S,23929,333,38
4,order10,XMJQ-0218S,20485,695,58
4,order10,XMJQ-0218S,20789,695,58
4,order10,XMJQ-0218S,21216,695,58
4,order10,XMJQ-0218S,21890,695,58
4,order10,XMJQ-0218S,19440,338,189
4,order10,XMJQ-0218S,23806,357,189
4,order10,XMJQ-0218S,19490,686,238.5
4,order10,XMJQ-0218S,22087,686,238.5
4,order10,XMJQ-0218S,20483,687,256.5
4,order10,XMJQ-0218S,18997,687,258
4,order10,XMJQ-0218S,23220,687,258
4,order10,XMJQ-0218S,21170,903,259
4,order10,XMJQ-0218S,21477,903,259
4,order10,XMJQ-0218S,21411,687,276
4,order10,XMJQ-0218S,23847,687,276
4,order10,XMJQ-0218S,22269,903,277
4,order10,XMJQ-0218S,23219,903,277
4,order10,XMJQ-0218S,21914,694,338
4,order10,XMJQ-0218S,21915,694,338
4,order10,XMJQ-0218S,20209,695,357
4,order10,XMJQ-0218S,21028,923,357
4,order10,XMJQ-0218S,21185,695,357
4,order10,XMJQ-0218S,23848,695,357
4,order10,XMJQ-0218S,23930,695,357
4,order10,XMJQ-0218S,19257,923,358
4,order10,XMJQ-0218S,21687,923,358
