P,item_order,item_material,item_id,max_length,min_length
32,order1,GDMY-0215S,24177,881,408.5
32,order1,GDMY-0215S,25482,1000,409.5
32,order1,GDMY-0215S,27147,1662,409.5
32,order1,GDMY-0215S,23682,1901,821
32,order1,GDMY-0215S,26653,1901,821
32,order1,GDMY-0215S,22857,1901,881
32,order1,GDMY-0215S,26965,1901,1000
32,order1,GDMY-0218S,22739,1366,38
32,order1,GDMY-0218S,23359,577,38
32,order1,GDMY-0218S,26084,2067,38
32,order1,GDMY-0218S,24897,556,319
32,order1,GDMY-0218S,26015,556,319
32,order1,GDMY-0218S,26733,556,319
32,order1,GDMY-0218S,23763,558,320
32,order1,GDMY-0218S,23264,558,409.5
32,order1,GDMY-0218S,24027,558,409.5
32,order1,GDMY-0218S,23580,578,427
32,order1,GDMY-0218S,24229,880,427
32,order1,GDMY-0218S,24581,578,427
32,order1,GDMY-0218S,22843,578,428
32,order1,GDMY-0218S,23466,578,428
32,order1,GDMY-0218S,23831,578,428
32,order1,GDMY-0218S,25180,578,428
32,order1,GDMY-0218S,23766,821,558
32,order1,GDMY-0218S,24582,660,558
32,order1,GDMY-0218S,25751,1901,558
32,order1,GDMY-0218S,26543,821,558
32,order1,GDMY-0218S,27284,821,558
32,order1,GDMY-0218S,25183,1000,575
32,order1,GDMY-0218S,25736,1000,575
32,order1,GDMY-0218S,24283,1662,577
32,order1,GDMY-0218S,25720,1000,577
32,order1,GDMY-0218S,26189,1662,577
32,order1,GDMY-0218S,26847,1901,577
32,order1,GDMY-0218S,27333,1662,577
32,order1,GDMY-0218S,22886,1998,578
32,order1,GDMY-0218S,22983,1998,578
32,order1,GDMY-0218S,23184,1998,578
32,order1,GDMY-0218S,23418,1998,578
32,order1,GDMY-0218S,25551,1998,578
32,order1,GDMY-0218S,26518,1998,578
32,order1,GDMY-0218S,23961,881,879.5
32,order1,GDMY-0218S,24036,881,879.5
32,order1,GDMY-0218S,25418,881,879.5
32,order1,GDMY-0218S,24489,1998,880
32,order1,GDMY-0218SD,25158,881,58
32,order1,GDMY-0218SD,25670,1662,58
