原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
NBSY-0218SD,0,25736,0,0,1090.0,1467.0
NBSY-0218SD,0,25698,0,1467.0,966.0,851.5
NBSY-0218SD,0,25243,0,2318.5,572.0,108.0
NBSY-0218SD,0,25309,1090.0,0,121.5,981.5
NBSY-0218SD,0,25781,1090.0,981.5,118.0,448.0
NBSY-0218SD,0,25673,1090.0,1429.5,118.0,238.0
NBSY-0218SD,0,25669,1090.0,1667.5,118.0,238.0
NBSY-0218SD,0,25652,1090.0,1905.5,118.0,238.0
NBSY-0218SD,0,25307,1090.0,2143.5,118.0,238.0
NBSY-0218SD,1,25558,0,0,962.0,1616.5
NBSY-0218SD,1,25722,0,1616.5,874.0,774.5
NBSY-0218SD,1,25731,0,2391.0,761.0,38.0
NBSY-0218SD,1,25908,962.0,0,258.0,883.0
NBSY-0218SD,1,25611,962.0,883.0,258.0,459.0
NBSY-0218SD,1,25201,962.0,1342.0,255.0,442.0
NBSY-0218SD,1,25407,962.0,1784.0,254.5,580.0
NBSY-0218SD,2,25552,0,0,953.0,2003.0
NBSY-0218SD,2,25465,0,2003.0,545.0,432.0
NBSY-0218SD,2,25575,953.0,0,261.0,1622.0
NBSY-0218SD,2,25549,953.0,1622.0,261.0,277.5
NBSY-0218SD,2,25492,953.0,1899.5,261.0,310.0
NBSY-0218SD,3,25833,0,0,950.0,2001.0
NBSY-0218SD,3,25474,0,2001.0,606.0,439.0
NBSY-0218SD,3,25866,950.0,0,260.0,1332.0
NBSY-0218SD,3,25805,950.0,1332.0,260.0,262.0
NBSY-0218SD,3,25597,950.0,1594.0,260.0,427.0
NBSY-0218SD,3,25727,950.0,2021.0,252.0,264.0
NBSY-0218SD,3,25870,950.0,2285.0,238.0,118.0
NBSY-0218SD,4,25123,0,0,885.0,1391.5
NBSY-0218SD,4,25691,0,1391.5,878.0,922.0
NBSY-0218SD,4,25686,0,2313.5,564.0,114.5
NBSY-0218SD,4,25778,885.0,0,330.5,774.0
NBSY-0218SD,4,25753,885.0,774.0,330.0,508.0
NBSY-0218SD,4,25290,885.0,1282.0,330.0,659.0
NBSY-0218SD,4,25203,885.0,1941.0,330.0,481.0
NBSY-0218SD,5,25683,0,0,856.0,2301.0
NBSY-0218SD,5,25458,0,2301.0,470.0,132.5
NBSY-0218SD,5,25143,856.0,0,362.0,627.0
NBSY-0218SD,5,25759,856.0,627.0,361.0,801.0
NBSY-0218SD,5,25588,856.0,1428.0,360.0,597.0
NBSY-0218SD,5,25872,856.0,2025.0,358.0,380.0
NBSY-0218SD,6,25875,0,0,838.0,2301.0
NBSY-0218SD,6,25570,0,2301.0,505.0,132.5
NBSY-0218SD,6,25874,838.0,0,380.0,2398.0
NBSY-0218SD,6,25620,838.0,2398.0,378.0,38.0
NBSY-0218SD,7,25543,0,0,822.0,2353.0
NBSY-0218SD,7,25916,0,2353.0,767.0,58.0
NBSY-0218SD,7,25889,822.0,0,398.0,2148.0
NBSY-0218SD,7,25236,822.0,2148.0,343.0,278.0
NBSY-0218SD,8,25544,0,0,812.0,1371.0
NBSY-0218SD,8,25622,0,1371.0,746.0,885.0
NBSY-0218SD,8,25770,0,2256.0,692.0,177.0
NBSY-0218SD,8,25720,812.0,0,408.0,2393.0
NBSY-0218SD,9,25472,0,0,797.2,1120.0
NBSY-0218SD,9,25112,0,1120.0,721.0,966.0
