批次序号,原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
4,NMYH-0215S,0,3591,0,0,666.0,1348.0
4,NMYH-0215S,0,1621,0,1348.0,666.0,457.5
4,QKQ-0218S,0,2081,0,1805.5,490.5,337.3
4,QKQ-0218S,0,2937,666.0,0,347.0,2277.0
4,NMYH-0218S,0,1761,1013.0,0,58.0,666.0
4,NMYH-0218S,0,2563,1013.0,666.0,53.0,666.0
4,NMYH-0218S,0,451,1013.0,1332.0,53.0,666.0
4,NMYH-0218S,0,322,1071.0,0,53.0,666.0
4,NMYH-0218S,0,3194,1071.0,666.0,38.0,1502.0
4,NMYH-0218S,0,2287,1124.0,0,38.0,2381.0
4,NMYH-0215S,1,2736,0,0,666.0,2244.0
4,NMYH-0215S,1,103,0,2244.0,666.0,158.0
4,QKQ-0218S,1,2579,666.0,0,347.0,2277.0
4,QKQ-0218S,2,2005,0,0,337.3,490.5
4,QKQ-0218S,2,2891,0,490.5,337.3,331.0
4,QKQ-0218S,2,1476,0,821.5,337.3,331.0
4,NMYH-0215S,2,2780,0,1152.5,298.0,666.0
4,NMYH-0218S,2,3443,337.3,0,280.0,2341.0
4,NMYH-0218S,2,907,617.3,0,280.0,2341.0
4,NMYH-0218S,2,572,897.3,0,280.0,2341.0
4,NMYH-0218S,3,4037,0,0,279.0,666.0
4,NMYH-0218S,3,2572,0,666.0,279.0,666.0
4,NMYH-0218S,3,1916,0,1332.0,279.0,666.0
4,NMYH-0218S,3,1635,279.0,0,279.0,666.0
4,NMYH-0218S,3,159,279.0,666.0,279.0,666.0
4,NMYH-0218S,3,2667,279.0,1332.0,277.0,666.0
4,NMYH-0218S,3,805,279.0,1998.0,277.0,38.0
4,NMYH-0218S,3,2638,558.0,0,258.0,665.0
4,NMYH-0218S,3,1501,558.0,665.0,258.0,665.0
4,NMYH-0218S,3,1411,558.0,1330.0,258.0,666.0
4,NMYH-0218S,3,446,816.0,0,258.0,665.0
4,NMYH-0218S,3,3875,816.0,665.0,232.4,666.0
4,NMYH-0218S,3,3638,816.0,1331.0,232.4,666.0
4,NMYH-0218S,4,1117,0,0,232.4,666.0
4,NMYH-0218S,4,2325,0,666.0,98.0,666.0
4,NMYH-0218S,4,3788,0,1332.0,58.0,666.0
4,GDMY-0215S,0,20415,0,0,908.0,973.0
4,GDMY-0218S,0,23254,0,973.0,761.0,752.0
4,GDMY-0218S,0,22882,0,1725.0,755.0,329.0
4,GDMY-0218S,0,19820,0,2054.0,755.0,329.0
4,GDMY-0215S,0,22815,908.0,0,296.0,894.5
4,GDMY-0215S,0,21941,908.0,894.5,296.0,894.5
4,GDMY-0218S,0,21781,908.0,1789.0,296.0,277.0
4,GDMY-0218S,0,19457,908.0,2066.0,296.0,277.0
4,XXB-0215S,0,23329,908.0,2343.0,239.0,92.5
4,GDMY-0218S,1,19915,0,0,752.0,761.0
4,GDMY-0225S,1,21806,0,761.0,298.0,1578.0
4,XXB-0215S,1,20164,0,2339.0,239.0,92.5
4,GDMY-0218S,1,22826,752.0,0,280.0,798.0
4,GDMY-0218S,1,20570,752.0,798.0,280.0,798.0
4,GDMY-0218S,1,19883,752.0,1596.0,280.0,798.0
4,XXB-0215S,1,19973,1032.0,0,92.5,851.0
4,GDMY-0218SD,1,22296,1032.0,851.0,58.0,296.0
4,GDMY-0218SD,1,22236,1032.0,1147.0,58.0,296.0
4,GDMY-0218SD,1,20464,1032.0,1443.0,58.0,296.0
4,GDMY-0218SD,1,19590,1032.0,1739.0,58.0,296.0
4,GDMY-0218S,2,19794,0,0,280.0,798.0
4,GDMY-0218S,2,22654,0,798.0,279.0,752.0
4,GDMY-0218S,2,21871,0,1550.0,279.0,752.0
4,XXB-0215S,2,18808,0,2302.0,238.0,118.0
4,GDMY-0218S,2,21680,280.0,0,279.0,752.0
4,GDMY-0218S,2,21239,280.0,752.0,279.0,752.0
4,XXB-0215S,2,21880,280.0,1504.0,240.0,239.0
4,XXB-0215S,2,21609,280.0,1743.0,240.0,239.0
4,XXB-0215S,2,22117,280.0,1982.0,238.0,118.0
4,XXB-0215S,2,20632,280.0,2100.0,238.0,118.0
4,XXB-0215S,2,20576,280.0,2218.0,238.0,118.0
4,GDMY-0218S,2,22099,559.0,0,278.0,973.0
4,GDMY-0218S,2,18828,559.0,973.0,278.0,973.0
4,GDMY-0218S,2,19226,559.0,1946.0,258.0,295.0
4,XXB-0215S,2,20246,559.0,2241.0,238.0,118.0
4,GDMY-0218S,2,21279,837.0,0,277.0,973.0
4,GDMY-0218S,2,19799,837.0,973.0,277.0,973.0
4,GDMY-0218S,2,22179,837.0,1946.0,258.0,295.0
4,XXB-0215S,2,19199,837.0,2241.0,238.0,118.0
4,XXB-0215S,3,19497,0,0,239.0,852.0
4,XXB-0218S,3,20582,0,852.0,148.0,902.0
4,XXB-0218S,3,20504,0,1754.0,148.0,329.0
4,XXB-0218S,3,20318,0,2083.0,148.0,329.0
4,SRBW-0215S,0,27551,0,0,602.0,892.5
4,SRBW-0215S,0,26242,0,892.5,602.0,848.0
4,SRBW-0215S,0,26287,0,1740.5,602.0,434.5
4,SRBW-0215S,0,23849,0,2175.0,338.0,238.0
4,SRBW-0218S,0,27939,602.0,0,398.0,1508.0
4,SRBW-0218S,0,25878,602.0,1508.0,398.0,403.0
4,SRBW-0218S,0,27731,602.0,1911.0,381.0,503.0
4,SRBW-0215S,0,24769,1000.0,0,158.0,602.0
4,SRBW-0218S,0,24898,1000.0,602.0,98.0,398.0
4,SRBW-0218SD,0,27762,1000.0,1000.0,58.0,330.0
4,SRBW-0218SD,0,26232,1000.0,1330.0,58.0,381.0
4,SRBW-0218SD,0,26083,1000.0,1711.0,58.0,330.0
4,SRBW-0218SD,0,24044,1158.0,0,58.0,401.0
4,SRBW-0218S,0,26214,1158.0,401.0,38.0,1043.0
4,SRBW-0218S,1,27229,0,0,381.0,1958.0
4,SRBW-0218S,1,25974,0,1958.0,381.0,453.0
4,SRBW-0218S,1,25802,381.0,0,381.0,1958.0
4,SRBW-0218S,1,23848,381.0,1958.0,381.0,453.0
4,SRBW-0218S,1,24534,762.0,0,381.0,503.0
4,SRBW-0218S,1,27916,762.0,503.0,380.0,383.0
4,SRBW-0218S,1,26156,762.0,886.0,380.0,602.0
4,SRBW-0218S,1,25996,762.0,1488.0,380.0,383.0
4,SRBW-0218S,1,25986,762.0,1871.0,380.0,332.0
4,SRBW-0215S,1,28135,762.0,2203.0,273.0,212.5
4,SRBW-0218S,1,25104,1143.0,0,38.0,1098.0
4,SRBW-0218S,1,24866,1143.0,1098.0,38.0,380.0
4,SRBW-0218S,2,25995,0,0,380.0,602.0
4,SRBW-0218S,2,25731,0,602.0,380.0,602.0
4,SRBW-0218S,2,25482,0,1204.0,380.0,602.0
4,SRBW-0218S,2,26824,0,1806.0,361.0,602.0
4,SRBW-0218S,2,25608,380.0,0,361.0,601.0
4,SRBW-0218S,2,25349,380.0,601.0,361.0,601.0
4,SRBW-0218S,2,24546,380.0,1202.0,361.0,601.0
4,SRBW-0218S,2,24387,380.0,1803.0,361.0,601.0
4,SRBW-0218S,2,25739,741.0,0,332.0,466.0
