批次序号,原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
39,5-0215S,0,27925,0,0,1027.0,2301.0
39,5-0218S,0,29874,0,2301.0,1027.0,58.0
39,5-0218S,0,29960,1027.0,0,78.0,1188.0
39,5-0218S,0,26879,1027.0,1188.0,78.0,765.0
39,5-0218S,0,29033,1105.0,0,78.0,1858.0
39,5-0218S,1,27099,0,0,979.0,2398.0
39,5-0218S,1,26094,979.0,0,78.0,2238.0
39,YTM-0218S,1,26386,1057.0,0,58.0,2154.0
39,5-0218SD,1,27059,1115.0,0,58.0,2134.0
39,5-0218S,1,28444,1173.0,0,38.0,2438.0
39,5-0218S,2,29205,0,0,978.5,1027.0
39,5-0218S,2,26169,0,1027.0,978.5,1027.0
39,5-0218S,2,29291,0,2054.0,478.0,324.0
39,5-0218S,2,26401,978.5,0,58.0,1357.0
39,5-0218S,2,26328,978.5,1357.0,58.0,327.0
39,5-0218S,2,25426,978.5,1684.0,58.0,407.0
39,5-0218S,2,25675,1036.5,0,58.0,1357.0
39,5-0218S,2,25126,1094.5,0,38.0,2438.0
39,5-0218S,3,27962,0,0,960.0,1027.0
39,5-0218S,3,26265,0,1027.0,960.0,1027.0
39,5-0218S,3,26091,0,2054.0,553.0,327.0
39,5-0218S,3,30183,960.0,0,258.0,407.0
39,5-0218S,3,29782,960.0,407.0,258.0,407.0
39,5-0218S,3,29103,960.0,814.0,258.0,406.0
39,5-0218S,3,28629,960.0,1220.0,258.0,407.0
39,5-0218S,3,28366,960.0,1627.0,258.0,407.0
39,5-0215S,4,29385,0,0,939.0,2301.0
39,5-0218S,4,28804,0,2301.0,939.0,58.0
39,5-0218S,4,27810,0,2359.0,939.0,58.0
39,YTM-0218S,4,27865,939.0,0,280.0,2398.0
39,5-0215S,5,27586,0,0,939.0,2301.0
39,5-0218S,5,26071,0,2301.0,939.0,58.0
39,5-0218S,5,25762,0,2359.0,939.0,58.0
39,YTM-0218S,5,27051,939.0,0,280.0,2398.0
39,5-0215S,6,28003,0,0,900.0,2301.0
39,5-0218S,6,27868,900.0,0,280.0,2398.0
39,5-0218S,7,29620,0,0,577.0,2398.0
39,5-0218S,7,26170,577.0,0,577.0,2398.0
39,5-0218S,8,30014,0,0,575.0,2398.0
39,5-0218S,8,29993,575.0,0,575.0,2398.0
39,5-0218S,9,28803,0,0,575.0,2398.0
39,5-0218S,9,27955,575.0,0,575.0,2398.0
39,5-0218S,10,27174,0,0,575.0,2398.0
39,5-0218S,10,27030,575.0,0,575.0,2398.0
39,5-0218S,11,25856,0,0,575.0,2398.0
39,5-0218S,11,25681,575.0,0,575.0,2398.0
39,5-0218S,12,28304,0,0,574.0,1357.0
39,5-0218S,12,27740,0,1357.0,574.0,939.0
39,XXB-0215S,12,27187,0,2296.0,438.0,118.0
39,5-0218S,12,26827,574.0,0,574.0,939.0
39,5-0218S,12,28150,574.0,939.0,572.0,939.0
39,5-0218S,12,29235,574.0,1878.0,513.0,479.0
39,5-0218S,12,30134,574.0,2357.0,490.0,58.0
39,5-0218S,13,25635,0,0,574.0,2301.0
39,XXB-0215S,13,28659,0,2301.0,438.0,118.0
39,5-0218S,13,27569,574.0,0,572.0,939.0
39,5-0218S,13,26663,574.0,939.0,572.0,1357.0
39,XXB-0215S,13,28920,574.0,2296.0,438.0,118.0
39,5-0218S,14,28290,0,0,555.0,939.0
39,5-0218S,14,27518,0,939.0,555.0,939.0
39,5-0218S,14,27923,0,1878.0,553.0,464.0
39,5-0218S,14,26854,555.0,0,555.0,939.0
39,5-0218S,14,25102,555.0,939.0,555.0,764.0
39,5-0218S,14,26308,555.0,1703.0,464.0,572.0
39,5-0218S,14,25545,555.0,2275.0,387.0,158.0
39,5-0218S,15,25923,0,0,553.0,939.0
39,5-0218S,15,25382,0,939.0,553.0,900.0
39,5-0218S,15,28151,0,1839.0,553.0,464.0
39,5-0218S,15,28985,553.0,0,479.0,2334.0
39,5-0218S,16,28283,0,0,479.0,2334.0
39,5-0218S,16,29238,0,2334.0,464.0,58.0
39,5-0218S,16,27324,479.0,0,479.0,2334.0
39,5-0218S,16,26187,479.0,2334.0,464.0,58.0
39,YTM-0215S,16,29553,958.0,0,262.0,2301.0
39,YTM-0218S,16,26041,958.0,2301.0,262.0,58.0
39,YTM-0218S,16,25425,958.0,2359.0,262.0,58.0
39,5-0218S,17,26653,0,0,479.0,2334.0
39,5-0218S,17,25348,479.0,0,479.0,1816.0
39,5-0218S,17,26805,479.0,1816.0,464.0,574.0
39,5-0218S,17,27822,958.0,0,258.0,407.0
39,5-0218S,17,27143,958.0,407.0,258.0,407.0
39,5-0218S,17,26192,958.0,814.0,258.0,407.0
39,5-0218S,17,25966,958.0,1221.0,258.0,407.0
39,5-0215S,18,26916,0,0,464.0,2301.0
39,XXB-0215S,18,29410,0,2301.0,438.0,118.0
39,5-0218S,18,27294,464.0,0,461.0,2334.0
39,5-0218S,18,26901,925.0,0,280.0,2398.0
